resource_type,status,access,assetIdentifier,digitizationNomination,dispositionNomination,identifier2,identifierSource2,physicalFormat,condition,generations,durationPhysical,channelConfigurationPhysical,originalCarrierLocation,date,dateType,language,itemTitle,intellectualAssetType,epsIdentifier,programName,description,genre,contributor,publisher,rightsSummary,rightsStatement,subject,relatedInstantiationID,proxyFilename,preservationFilename,filelocation,dateDigitized,filesize,channelConfigurationDigital,encoding,sampleRate,bitDepth,durationDigital,instantiationTimeStart,digitalQC,checksumString,checksumType,coverageSpatial,coverageTemporal,ancillaryMaterials
4,0,0,MD-009d2,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,The Artist in the Time of War,,eps00102,,,,Howard Zinn,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Arts/Culture, War/Peace",,,,,,,,,,,,,,,,,,
4,0,0,MD-010,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Globalization and Imperialism,,eps00103,,Globalization & Imperialism,,Michael Parenti,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Government/Politics, Economics",,,,,,,,,,,,,,,,,,
4,0,0,MD-011,digitized in house,,,,Minidisc,,,02:04:37,Mono,KBOO Archives Room,2000-03-26,unknown,,Vandana Shiva at First Unitarian Church,,eps00104,,"The tape begins with Vandana Shiva being interviewed, then she speaks at the First Unitarian Church about biodiversity and bio piracy, which is where you steal natures creativity then sue for infringment. She mention Columbus and how he was a bio pirate. She talks about Intellecutal property rights and how you can make a patent on nature and then sue if someone else uses it. The main example she uses is Monsanto. ",,,KBOO,Non-Saleable,,Science/Technology,,,kboo_MD-011_20000326.wav,S:\Staff\Analog Archive Project\_final\minidisc,,629 MB,mono,wav,44.1 kHz,16 bits,02:04:37,,,63BEB7ED25C6925C2FFC88FDB4B60B31,md5,United States,,
4,0,0,MD-012,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,title,,,,,,,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Government/Politics,,,,,,,,,,,,,,,,,,
4,0,0,MD-013,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,title,,,,,,,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,,,,,,,,,,,,,,,,,,,
4,0,0,MD-014,digitized in house,,,,Minidisc,,,00:56:50,Mono,KBOO Archives Room,2002-01-00,unknown,,How Benefits: The Few or the Many? at the Social Justice Fair,,,,"The speaker talks about how democracy is not black and white but many shades of gray. She talks about how after 9/11 Bush asked America to go out and support America by shopping, even though America was in a deep recession. She talks about a book called Jihad vs. McWorld and how both versions are destroying the world. She talks about different Middle Eastern countries that are not part of the world trade organization, including Saudi Arabia. The next speaker talks about the ""war on terrorism"" and how we are not actually at war. He speaks about racism after 9/11 and how it was an ominous sign of what is to come. There is also talk about the Iraq war and what is happening over there and how be will be at war in the Middle East for decades to come. This is followed by a Q&A. Disc listed as ""Air Copy""",,,KBOO,Non-Saleable,,"Economics, Activism, War/Peace",,,kboo_MD-014_20020100.wav,S:\Staff\Analog Archive Project\_final\minidisc,,287 MB,mono,wav,44.1 kHz,16 bits,00:56:50,,,,,United States,,
4,0,0,MD-015d1,,,,,Minidisc,,,01:58:00,,KBOO Archives Room,,unknown,,"Afghanistan, Bin Laden and the Taliban",,,,"on Taliban, Bin Laden, Afghanistan",,Nasim Zehra,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Global Affairs ,,,,,,,,,,,,,,3731147F3259CE78BAAFFA058D7D6DAD,md5,"Middle East, Afghanistan",,
4,0,0,MD-015d2,,,,,Minidisc,,,01:58:00,,KBOO Archives Room,,unknown,,"Afghanistan, Bin Laden and the Taliban",,,,"on Taliban, Bin Laden, Afghanistan",,Nasim Zehra,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Global Affairs ,,,,,,,,,,,,,,,,"Middle East, Afghanistan",,
4,0,0,MD-016,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,U.S. to the United Nations: Do It Our Way,,,,US to UN:Do It Our Way,,Noam Chomsky,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,War/Peace,,,,,,,,,,,,,,,,,,
4,0,0,MD-017,digitized in house,,,,Minidisc,,,00:49:40,Stereo,KBOO Archives Room,2002-02-01,unknown,,John Kitzhaber State of the State Address,,eps00105,,This an edited recording with the last 4 minutes are missing. ,,,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",Government/Politics,,,kboo_MD-017_20020201.wav,S:\Staff\Analog Archive Project\_final\minidisc,,501 MB,stereo,wav,44.1 kHz,16 bits,00:49:40,,,7479827922A40C23260620AB40B58E28,md5,Oregon,,
4,0,0,MD-018,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,The Militarization of Space,,,,The Militarization of Space,,Bruce Gagnon,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"War/Peace, Science/Technology",,,,,,,,,,,,,,,,,,
4,0,0,MD-019d1,digitized in house,,,,Minidisc,,,,Stereo,KBOO Archives Room,2002-02-01,unknown,,Federal Case Series: U.S. v. Loudhawk,,,,"Judge Owen Panner?? talks about the case of Loudhawk and how it started. In was 1968 and there was much hostility between natives and whites. The AIM was just founded and they took over the interior building in D.C. and held it for 75 days. Banks and Peltier were involved at Pine Ridge and wounded Knee as well as the D.C. incident. The case was where a group of AIM members were arrested and indicted in November, 1975, on counts of possessing firearms and dynamite. In March, 1976, the Federal District Court granted respondents' motion to suppress evidence relating to the dynamite counts, and the Government promptly filed a notice of appeal and requested a continuance. ",,,KBOO,Non-Saleable,,"Indigenous, Prisons, Law/Court/Crime",,,kboo_MD-019d1_20020201.wav,S:\Staff\Analog Archive Project\_final\minidisc,,765 MB,stereo,wav,44.1 kHz,16 bits,01:14:51,,,76AA53BA6015736EBB1F29C5F64642DC,md5,United States,,
4,0,0,MD-019d2,digitized in house,,,,Minidisc,,,00:26:43,Stereo,KBOO Archives Room,2002-02-01,unknown,,Federal Case Series: U.S. v. Loudhawk,,,,"Audio recording level is very low. AIM,Peltier,Judge Redden,Sid Lezak",,,KBOO,Non-Saleable,,"Indigenous, Prisons, Law/Court/Crime",,,kboo_MD-019d2_20020201.wav,S:\Staff\Analog Archive Project\_final\minidisc,,270 MB,stereo,wav,44.1 kHz,16 bits,00:26:43,,,D1F50E1CB80710335E2FB7BE92AADA22,md5,United States,,
4,0,0,MD-020,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Mono Cultures of the Mind,,,,,,Vandana Shiva,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Agriculture,,,,,,,,,,,,,,,,,,
4,0,0,MD-021,,,,,Minidisc,,,00:59:00,,KBOO Archives Room, ,unknown,,Malcolm X: The Politics of Race,,,,MichaelE.DysonOnPoliticsOfRace,,Michael Eric Dyson,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,African American ,,,,,,,,,,,,,,,,,,
4,0,0,MD-022,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Radical Profiling in the Drug War,,,,racial profiling & the drug war,,Angela Davis,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,"Race, Drugs, ",,,,,,,,,,,,,,,,,,
4,0,0,MD-023,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Sustainable Agriculture,,,,sustainable agriculture,,John Ikerd,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Agriculture,,,,,,,,,,,,,,,,,,
4,0,0,MD-024,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Natural Capital ,,,,natural capital,,Paul Hawken,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Economy ,,,,,,,,,,,,,,,,,,
4,0,0,MD-026,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Reclaiming Democracy,,,,Reclaiming Democracy,,Ronnie Dugger,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Government/Politics ,,,,,,,,,,,,,,,,,,
4,0,0,MD-027,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,MD-027 title,,,,,,Michael Moore,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Film,,,,,,,,,,,,,,,,,,
4,0,0,MD-028,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,MD-028 title,,,,media,,Norman Solomon,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Media ,,,,,,,,,,,,,,,,,,
4,0,0,MD-029,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,MD-029 title,,,,,,Frances Fox Piven,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Government/Politics ,,,,,,,,,,,,,,,,,,
4,0,0,MD-030,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Desperate Passions and Direct Actions,,,,DesperatePassions&DirectActions-general Rant,,Helen Caldicott,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Energy/Natural Resources,,,,,,,,,,,,,,,,,,
4,0,0,MD-031,digitized in house,,,,Minidisc,,,00:59:01,Mono,KBOO Archives Room,2001,unknown,,Rozalind Gruben: Inspiration to Exercise,,eps00106,,"Rozalind Gruben speaks at the 2001 Festival of Raw and Living Foods on the KBOO weekly lecture series. The title of her presentation is Inspiration to Exercise. Following the presentation, Reslor interviews Linda Fram about the 2002 Raw Food Festival.",,"Rozalind Gruben, Mel Reslor, Linda Fram",KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",Health,,,kboo_MD-031_2001.wav,S:\Staff\Analog Archive Project\_final\minidisc,,298 MB,mono,wav,44.1 kHz,16 bits,00:59:01,,,C06538074643F61C96629AFBAB9E52A6,md5,,,Broadcast Info
4,0,0,MD-032,digitized in house,,,,Minidisc,,,00:58:26,Mono,KBOO Archives Room,2002-05-07,unknown,,MD-032 title,,,,"The Oregon World Affairs Council invites Michael Tarazi to speak on his experience as an advisor to Yasser Arafat of the Palestine Liberation Organization (PLO). He specifically address three topics: the 2000 Camp David accord, what are the roots of the current crisis between Israel and Palestine, and what is needed to move forward.",,"Jeff Merkley, Michael Tarazi",KBOO,Non-Saleable,,"Global Affairs, War/Peace",,,kboo_MD-032_20020507.wav,S:\Staff\Analog Archive Project\_final\minidisc,,295 MB,mono,wav,44.1 kHz,16 bits,00:58:26,,,12C66CECAEFF63CEFA4B59584F710892,md5,"Middle East, Palestine, Israel",,Broadcast Info
4,0,0,MD-033,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,The Myth of the Liberal Media,,,,Myth Of The Liberal Media,,Jeff Cohen,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Media ,,,,,,,,,,,,,,,,,,
4,0,0,MD-034,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,Crashing the Party,,,,wrote Crashing The Party On 2000 Campaign,,Ralph Nader,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Government/Politics,,,,,,,,,,,,,,,,,,
4,0,0,MD-035,,,,,Minidisc,,,00:59:00,,KBOO Archives Room,,unknown,,The Multicultural Middle East,,,,The MultiCultural Middle East,,Esmail Nooriala,Alternative Radio,Non-Saleable,This is an Alternative Radio program.,Global Affairs ,,,,,,,,,,,,,,,,Middle East,,
4,0,0,MD-036,digitized in house,,,,Minidisc,,Master: edited,01:10:04,Mono,KBOO Archives Room,2002-10-06,unknown,,Ralph Nader at Lewis and Clark College,,eps00107,,Edited version.,,Ralph Nader,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Government/Politics, Activism, Corporations, War/Peace",,,kboo_MD-036_20021006.wav,S:\Staff\Analog Archive Project\_final\minidisc,,354 MB,mono,wav,44.1 kHz,16 bits,01:10:04,,,735C15781506D1FDFF59A579733F5245,md5,United States,,
